Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,adjectives,WordCount,sent_neg,sent_neu,sent_pos,label
2206,5,16,0,30,349,0.024,0.892,0.084,FAKE
1584,5,9,1,19,259,0.012,0.942,0.046,FAKE
1391,5,5,0,24,216,0.138,0.786,0.076,FAKE
3487,5,13,1,60,509,0.134,0.772,0.094,FAKE
10276,5,80,0,185,1642,0.07,0.813,0.117,REAL
2790,4,31,0,40,469,0.092,0.825,0.083,REAL
400,5,4,1,6,62,0.083,0.812,0.105,FAKE
1798,5,19,0,21,288,0.09,0.804,0.106,FAKE
1988,5,20,1,40,308,0.074,0.868,0.058,REAL
3339,5,87,0,50,533,0.051,0.892,0.057,FAKE
3631,5,11,0,61,597,0.054,0.845,0.101,REAL
85,5,0,0,1,14,0,0.823,0.177,REAL
1126,4,6,0,18,191,0.252,0.715,0.033,FAKE
1220,5,11,2,7,198,0.167,0.715,0.118,FAKE
23127,5,179,1,412,3570,0.092,0.757,0.151,REAL
6437,5,20,1,84,1045,0.092,0.828,0.08,REAL
197,5,0,0,4,32,0.291,0.709,0,FAKE
203,5,6,0,4,31,0,0.871,0.129,FAKE
2008,4,7,1,41,341,0.077,0.825,0.099,FAKE
674,5,2,0,11,107,0.22,0.757,0.023,REAL
4786,4,129,0,83,843,0.037,0.868,0.096,FAKE
6995,5,56,1,108,1117,0.062,0.793,0.145,REAL
204,5,0,0,1,30,0.123,0.792,0.085,FAKE
2335,4,3,0,25,393,0.135,0.84,0.025,REAL
1107,4,0,0,18,191,0.14,0.79,0.07,FAKE
154,4,6,0,1,28,0,1,0,REAL
3101,5,68,0,52,510,0.015,0.877,0.108,REAL
2643,4,17,0,30,444,0.055,0.8,0.145,FAKE
5846,5,10,0,83,931,0.09,0.837,0.074,REAL
5053,4,2,2,74,842,0.133,0.743,0.124,REAL
6056,5,16,0,72,977,0.052,0.796,0.152,REAL
5150,5,0,0,80,806,0.046,0.81,0.144,REAL
8380,4,21,0,103,1406,0.118,0.802,0.08,REAL
1905,4,33,0,33,323,0.062,0.862,0.076,FAKE
7279,5,69,0,113,1137,0.018,0.883,0.099,REAL
2694,4,18,0,28,449,0.127,0.74,0.134,FAKE
6536,5,34,0,93,1082,0.079,0.82,0.101,REAL
1201,5,13,0,21,197,0.05,0.838,0.112,REAL
1193,4,16,0,18,207,0.05,0.832,0.118,FAKE
1541,5,0,0,13,253,0,0.89,0.11,REAL
6189,4,28,0,68,1034,0.047,0.896,0.057,REAL
7508,4,28,1,110,1250,0.142,0.797,0.061,REAL
920,5,8,0,10,137,0.054,0.86,0.086,FAKE
1344,5,18,3,14,222,0.102,0.768,0.13,FAKE
4244,5,7,0,49,626,0.071,0.857,0.071,REAL
324,4,0,0,5,56,0.04,0.745,0.215,REAL
9839,5,47,0,128,1611,0.054,0.881,0.064,REAL
8532,4,5,9,141,1476,0.157,0.721,0.122,FAKE
25765,5,274,0,258,4218,0.117,0.833,0.049,REAL
3689,5,18,0,56,605,0.097,0.772,0.131,REAL
1866,4,0,0,12,331,0.046,0.895,0.059,REAL
4253,4,4,0,77,710,0.071,0.762,0.167,REAL
4672,4,17,0,66,824,0.088,0.794,0.118,REAL
6078,4,15,0,66,1011,0.067,0.794,0.139,REAL
117,5,0,0,2,17,0.216,0.784,0,REAL
1666,4,14,4,20,297,0.05,0.826,0.124,FAKE
2185,4,7,0,26,367,0.044,0.839,0.117,FAKE
3442,5,38,0,44,564,0.054,0.836,0.11,REAL
3551,5,24,0,46,554,0.166,0.809,0.026,REAL
2697,4,12,2,32,498,0.083,0.825,0.092,FAKE
26787,5,124,8,375,4149,0.116,0.792,0.092,FAKE
4330,4,44,0,47,739,0.072,0.728,0.2,REAL
7653,5,7,0,109,1236,0.123,0.806,0.071,REAL
59,5,0,0,1,9,0,1,0,REAL
7891,5,26,0,122,1311,0.058,0.843,0.099,REAL
203,5,0,0,2,30,0.065,0.794,0.141,FAKE
8068,5,38,0,84,1255,0.096,0.801,0.103,REAL
6824,4,74,0,94,1138,0.043,0.845,0.112,REAL
4891,5,23,0,56,769,0.063,0.844,0.093,REAL
7558,5,15,0,110,1221,0.035,0.844,0.121,REAL
2528,4,10,7,39,485,0.187,0.675,0.138,FAKE
10196,4,36,3,155,1698,0.101,0.767,0.131,FAKE
3807,5,13,0,65,584,0.042,0.818,0.14,FAKE
4497,5,8,0,48,712,0.029,0.917,0.055,REAL
6421,5,18,0,72,1026,0.166,0.804,0.031,REAL
1935,4,2,0,29,353,0.117,0.753,0.13,FAKE
2953,5,10,0,51,491,0.14,0.746,0.114,FAKE
918,5,6,0,9,151,0.043,0.773,0.184,FAKE
4326,5,27,0,64,693,0.149,0.782,0.069,REAL
3077,5,33,0,46,496,0.139,0.825,0.036,REAL
2940,4,13,0,32,508,0.097,0.792,0.112,FAKE
5483,5,11,0,105,829,0.044,0.878,0.078,FAKE
4261,4,8,0,55,715,0.094,0.788,0.117,REAL
5307,5,21,0,69,862,0.198,0.69,0.113,REAL
1537,4,12,0,19,267,0.038,0.817,0.145,FAKE
6609,4,45,0,70,1152,0.102,0.83,0.067,REAL
2234,5,14,0,33,354,0.159,0.763,0.078,FAKE
1414,5,17,0,17,220,0.242,0.687,0.07,FAKE
7496,5,46,0,129,1191,0.058,0.843,0.099,REAL
7970,5,9,0,122,1317,0.053,0.808,0.139,REAL
2981,5,9,0,44,487,0.04,0.879,0.081,FAKE
4339,5,1,0,57,665,0.046,0.823,0.131,FAKE
3413,5,26,0,46,558,0.077,0.839,0.084,FAKE
4063,5,2,0,42,655,0.135,0.76,0.106,REAL
2194,5,6,0,36,341,0.077,0.857,0.067,FAKE
1244,4,6,0,10,213,0.082,0.805,0.113,REAL
4312,5,22,0,63,697,0.053,0.853,0.094,REAL
498,5,15,0,3,82,0.106,0.822,0.072,FAKE
1178,4,2,0,13,199,0.057,0.879,0.063,FAKE
5516,5,44,0,50,899,0.148,0.818,0.035,FAKE
27281,4,199,40,449,4678,0.103,0.765,0.132,FAKE
14566,4,140,0,186,2424,0.058,0.826,0.117,REAL
3355,5,130,0,51,553,0.043,0.885,0.072,FAKE
1589,5,0,1,11,257,0.106,0.798,0.096,FAKE
2001,5,18,0,23,314,0.068,0.882,0.05,REAL
4457,5,31,0,70,685,0.113,0.805,0.082,FAKE
1900,5,25,0,28,309,0.121,0.84,0.039,REAL
111,5,6,0,1,17,0,1,0,FAKE
13875,5,31,0,289,2081,0.086,0.79,0.123,REAL
5442,5,72,0,86,874,0.021,0.927,0.052,FAKE
1465,5,0,0,11,238,0.006,0.872,0.122,FAKE
5030,5,11,0,77,785,0.104,0.853,0.042,FAKE
5968,4,74,0,74,1069,0.065,0.813,0.121,FAKE
134,6,0,0,2,19,0,1,0,REAL
1119,5,10,0,12,183,0.068,0.907,0.025,FAKE
1546,5,7,0,13,254,0.045,0.881,0.074,FAKE
7701,4,5,0,107,1301,0.109,0.81,0.081,FAKE
4788,5,3,0,71,782,0.124,0.826,0.05,REAL
632,5,10,0,9,103,0.025,0.934,0.041,FAKE
2753,5,13,0,32,444,0.074,0.839,0.087,REAL
117,5,0,0,2,17,0.216,0.784,0,REAL
833,5,2,0,10,134,0.07,0.791,0.139,REAL
1524,4,7,0,24,254,0.117,0.866,0.018,FAKE
6599,5,71,0,99,1068,0.049,0.789,0.161,REAL
5028,5,0,0,110,738,0.107,0.676,0.217,REAL
6781,5,74,0,75,1078,0.076,0.867,0.056,FAKE
425,5,7,0,3,62,0,0.911,0.089,FAKE
2023,4,10,0,19,351,0.024,0.929,0.047,REAL
4281,5,18,0,89,628,0.169,0.747,0.084,FAKE
7789,5,39,0,124,1245,0.066,0.819,0.115,REAL
4592,5,2,2,80,760,0.134,0.758,0.108,FAKE
13628,5,53,0,231,2233,0.158,0.73,0.112,FAKE
1759,4,35,0,25,295,0.007,0.93,0.063,REAL
2171,5,6,0,18,347,0.026,0.892,0.082,FAKE
434,4,0,0,4,74,0.127,0.828,0.045,FAKE
1143,4,6,2,10,191,0.133,0.694,0.174,FAKE
2234,5,4,1,29,366,0.034,0.888,0.078,REAL
3523,5,49,0,62,567,0.087,0.866,0.047,FAKE
4384,5,23,0,54,676,0.044,0.766,0.19,FAKE
5581,4,32,0,49,957,0.136,0.795,0.069,REAL
11229,5,58,0,176,1820,0.144,0.77,0.087,FAKE
30630,4,48,6,347,5515,0.063,0.79,0.147,REAL
2950,5,19,1,33,472,0.154,0.787,0.059,FAKE
3036,5,1,0,41,483,0.049,0.897,0.053,REAL
406,5,2,0,6,63,0.072,0.814,0.114,REAL
3210,5,20,0,58,522,0.03,0.881,0.089,REAL
2350,5,4,0,31,378,0.017,0.853,0.13,FAKE
3997,5,18,0,76,660,0.049,0.845,0.106,REAL
3871,4,17,1,49,664,0.042,0.904,0.054,REAL
4622,4,101,2,63,779,0.035,0.855,0.111,REAL
9291,5,31,0,134,1422,0.079,0.82,0.101,REAL
2586,4,46,0,27,430,0.166,0.784,0.05,FAKE
5241,4,19,0,67,897,0.097,0.874,0.029,REAL
5085,4,51,0,43,857,0.155,0.827,0.019,REAL
1404,4,17,0,18,255,0.029,0.838,0.133,FAKE
6626,5,81,0,52,1060,0.063,0.873,0.064,REAL
3736,4,3,0,53,638,0.117,0.795,0.088,REAL
1973,4,7,0,41,335,0.078,0.822,0.1,FAKE
746,5,4,0,11,122,0.038,0.833,0.129,FAKE
7780,5,20,0,107,1271,0.03,0.862,0.107,REAL
1478,5,16,1,23,243,0.057,0.833,0.11,FAKE
8546,5,78,0,153,1324,0.11,0.85,0.04,FAKE
4106,5,6,0,45,625,0.068,0.746,0.185,REAL
69,5,4,0,1,11,0,0.849,0.151,REAL
139,4,0,0,2,25,0.101,0.899,0,FAKE
5801,4,31,0,60,974,0.078,0.877,0.045,REAL
9233,5,20,1,145,1511,0.155,0.746,0.099,FAKE
545,5,10,1,10,83,0.055,0.739,0.206,FAKE
3153,5,62,0,38,485,0.093,0.782,0.125,FAKE
16131,4,41,1,225,2699,0.113,0.778,0.109,REAL
3079,5,14,0,38,511,0.113,0.804,0.083,FAKE
8565,4,16,0,132,1491,0.058,0.865,0.077,FAKE
3659,4,86,1,56,661,0.041,0.833,0.126,FAKE
5353,5,14,0,62,856,0.09,0.847,0.063,REAL
4696,5,29,0,51,767,0.066,0.886,0.048,FAKE
9512,5,28,0,152,1486,0.05,0.856,0.094,REAL
1276,5,0,0,14,205,0.123,0.788,0.088,FAKE
737,5,0,0,8,115,0.111,0.826,0.062,FAKE
3469,5,18,0,65,567,0.096,0.801,0.102,REAL
5031,5,33,0,78,801,0.072,0.862,0.066,REAL
7310,5,35,0,107,1201,0.095,0.841,0.064,REAL
5902,5,36,0,76,938,0.16,0.808,0.032,REAL
265,4,7,0,4,48,0,0.801,0.199,FAKE
27559,5,142,9,389,4279,0.114,0.794,0.093,FAKE
9994,5,48,0,166,1547,0.063,0.853,0.083,FAKE
207,4,4,0,5,39,0,0.927,0.073,REAL
3959,5,18,0,39,640,0.15,0.812,0.038,REAL
4735,5,36,0,63,779,0.017,0.952,0.031,REAL
2379,4,10,1,36,408,0.099,0.783,0.117,FAKE
744,5,2,0,7,120,0.179,0.821,0,FAKE
2035,5,19,0,20,337,0.082,0.889,0.028,FAKE
140,4,2,0,1,24,0,1,0,REAL
4712,12,213,1,87,345,0.043,0.931,0.026,FAKE
7767,5,7,0,94,1287,0.113,0.777,0.11,REAL
1988,5,26,0,24,304,0.126,0.822,0.052,FAKE
1359,4,0,0,18,245,0.082,0.808,0.109,REAL
154,4,6,0,1,28,0,1,0,REAL
1547,5,51,3,18,251,0.057,0.916,0.027,FAKE
5647,5,68,0,87,934,0.099,0.844,0.057,FAKE
3142,5,16,0,41,502,0.028,0.894,0.078,REAL
9702,5,49,0,122,1555,0.068,0.813,0.119,REAL
49,7,0,0,3,6,0.342,0.658,0,FAKE
5089,5,40,0,60,817,0.062,0.88,0.058,REAL
8364,4,70,0,101,1437,0.054,0.897,0.049,REAL
9976,5,79,2,150,1616,0.021,0.89,0.089,FAKE
3176,5,0,0,52,492,0.111,0.798,0.091,REAL
7323,5,24,0,128,1207,0.111,0.762,0.127,REAL
673,4,21,0,5,118,0.043,0.886,0.071,REAL
5283,5,11,0,51,868,0.074,0.874,0.052,REAL
194,5,0,0,5,32,0.061,0.877,0.061,FAKE
9942,4,42,0,115,1677,0.107,0.807,0.086,REAL
3621,5,25,2,71,600,0.094,0.787,0.119,FAKE
2606,5,22,0,29,410,0.071,0.898,0.031,REAL
2965,5,3,0,32,492,0.018,0.924,0.058,REAL
12250,4,53,1,168,2080,0.147,0.765,0.088,FAKE
18219,5,156,2,226,2959,0.042,0.86,0.098,REAL
5190,5,20,0,60,858,0.122,0.798,0.08,FAKE
282,5,2,0,6,42,0.122,0.878,0,REAL
11008,5,58,0,196,1739,0.072,0.856,0.072,FAKE
43566,5,244,3,593,7147,0.086,0.824,0.09,REAL
8745,5,103,5,130,1415,0.033,0.87,0.097,REAL
9174,4,29,1,108,1621,0.072,0.81,0.118,FAKE
5616,5,5,0,64,896,0.059,0.869,0.072,REAL
14317,5,21,0,212,2281,0.094,0.795,0.11,REAL
5791,5,40,0,72,919,0.062,0.902,0.036,FAKE
2671,5,5,0,50,418,0.098,0.815,0.086,FAKE
1699,5,15,4,22,278,0.15,0.735,0.115,FAKE
274,4,6,0,6,50,0.144,0.856,0,FAKE
2528,4,18,0,34,434,0.024,0.903,0.072,FAKE
10093,5,28,2,162,1618,0.066,0.833,0.101,FAKE
1340,5,3,2,15,218,0.052,0.87,0.078,FAKE
1464,5,29,0,17,221,0.032,0.919,0.048,FAKE
4367,5,62,0,56,715,0.04,0.892,0.068,REAL
9391,4,44,2,112,1621,0.12,0.773,0.106,FAKE
2391,5,12,0,24,392,0.067,0.864,0.069,FAKE
6525,5,7,0,99,1073,0.1,0.797,0.103,REAL
622,5,2,0,10,100,0.024,0.715,0.261,REAL
147,4,5,0,1,23,0.094,0.697,0.209,FAKE
11239,5,97,0,154,1792,0.051,0.854,0.095,REAL
8056,5,147,0,138,1267,0.047,0.877,0.076,REAL
8696,5,61,1,129,1396,0.091,0.814,0.095,FAKE
6226,5,26,0,84,1032,0.092,0.794,0.114,REAL
4256,5,32,0,53,688,0.056,0.877,0.067,FAKE
1686,5,0,0,19,277,0.058,0.823,0.12,REAL
6997,5,17,0,91,1116,0.128,0.755,0.117,REAL
41705,4,85,0,466,7503,0.063,0.787,0.15,FAKE
964,4,0,1,12,163,0.11,0.768,0.122,FAKE
2037,5,25,0,27,329,0.098,0.838,0.064,FAKE
5812,5,1,0,96,905,0.053,0.862,0.085,FAKE
22144,5,87,0,378,3512,0.07,0.832,0.099,REAL
6023,5,22,0,82,974,0.051,0.832,0.117,REAL
3657,5,30,0,60,558,0.063,0.839,0.098,REAL
2108,5,2,0,31,318,0.106,0.75,0.144,REAL
3643,5,4,0,46,601,0.09,0.835,0.075,REAL
5983,5,40,0,88,942,0.136,0.747,0.117,FAKE
5053,4,32,0,65,867,0.041,0.882,0.076,REAL
3969,5,19,0,63,649,0.018,0.816,0.166,FAKE
1298,5,8,0,25,212,0.009,0.83,0.161,FAKE
2247,5,20,0,29,330,0.221,0.752,0.027,REAL
6733,5,67,0,72,1104,0.068,0.812,0.119,REAL
10641,5,23,2,152,1711,0.078,0.779,0.144,REAL
5543,5,122,0,80,919,0.033,0.871,0.095,REAL
4344,5,24,0,46,703,0.061,0.878,0.061,REAL
7325,5,39,0,111,1163,0.093,0.818,0.089,FAKE
6517,5,25,0,91,1078,0.075,0.829,0.096,REAL
530,5,12,2,5,77,0.115,0.76,0.125,FAKE
6682,4,96,0,67,1149,0.116,0.795,0.089,REAL
13643,5,59,0,208,2254,0.109,0.796,0.095,FAKE
1852,5,4,0,22,294,0.078,0.856,0.067,REAL
7225,5,28,0,113,1167,0.087,0.772,0.141,REAL
7437,5,14,0,121,1125,0.071,0.835,0.095,REAL
3344,5,94,4,36,505,0.071,0.815,0.113,FAKE
5648,5,26,0,72,926,0.051,0.868,0.08,REAL
5578,5,53,0,80,901,0.033,0.882,0.085,REAL
4547,5,7,0,71,722,0.103,0.747,0.15,REAL
22003,5,253,1,302,3489,0.063,0.851,0.087,FAKE
1685,4,0,1,15,287,0.081,0.786,0.133,FAKE
6334,4,20,0,106,1067,0.059,0.846,0.095,FAKE
1785,4,8,0,34,304,0.14,0.755,0.105,FAKE
117,5,0,0,2,17,0.216,0.784,0,REAL
2366,4,23,0,26,399,0.038,0.906,0.056,REAL
6957,5,0,0,115,1115,0.074,0.808,0.119,REAL
105,4,0,0,1,19,0.226,0.652,0.122,REAL
383,5,7,0,5,60,0.103,0.848,0.049,FAKE
6972,5,41,0,99,1091,0.077,0.81,0.114,FAKE
2608,4,2,0,40,453,0.031,0.862,0.107,FAKE
117,5,0,0,2,17,0.216,0.784,0,REAL
1076,5,19,0,17,158,0.015,0.862,0.123,FAKE
18481,5,96,0,284,2984,0.165,0.761,0.074,REAL
4963,5,5,5,74,796,0.143,0.768,0.089,REAL
1314,5,13,3,12,218,0.13,0.675,0.195,FAKE
6313,4,83,0,89,1063,0.04,0.815,0.146,REAL
3593,5,6,0,37,565,0.074,0.857,0.068,REAL
326,5,12,0,4,54,0,1,0,FAKE
6113,4,16,0,89,1052,0.087,0.794,0.119,REAL
1670,5,18,0,17,260,0.076,0.858,0.065,FAKE
4560,5,37,0,78,725,0.078,0.88,0.042,FAKE
2436,5,15,0,19,393,0.113,0.847,0.04,FAKE
1771,4,21,0,25,295,0.036,0.859,0.106,REAL
7518,5,12,0,141,1212,0.08,0.786,0.134,REAL
1809,5,0,0,19,297,0.09,0.866,0.044,FAKE
2223,4,8,0,34,378,0.017,0.886,0.097,FAKE
1188,4,0,0,4,211,0.097,0.89,0.013,REAL
2018,4,53,0,10,338,0.011,0.901,0.088,FAKE
200,4,8,1,0,34,0,0.892,0.108,FAKE
2221,5,7,0,29,328,0.025,0.945,0.03,FAKE
566,5,0,0,6,86,0.053,0.883,0.063,REAL
38320,5,226,1,482,6184,0.086,0.82,0.095,REAL
8747,5,53,0,127,1444,0.045,0.849,0.107,REAL
427,5,36,0,1,62,0,1,0,FAKE
372,5,0,0,8,56,0.114,0.798,0.088,REAL
2080,5,3,0,28,323,0.037,0.912,0.051,REAL
18883,5,152,0,285,2960,0.056,0.82,0.124,REAL
6345,5,11,0,95,1024,0.063,0.852,0.085,REAL
1553,5,14,0,34,250,0.139,0.726,0.135,REAL
9196,5,4,1,132,1516,0.091,0.798,0.11,REAL
8102,5,22,0,136,1278,0.051,0.858,0.092,REAL
6088,5,78,1,97,922,0.059,0.871,0.069,FAKE
2154,5,12,0,26,346,0.007,0.943,0.05,REAL
32885,5,209,1,372,5072,0.049,0.886,0.065,REAL
2519,5,13,0,26,407,0.117,0.831,0.051,FAKE
4700,5,83,0,93,766,0.024,0.905,0.071,REAL
1066,5,0,0,20,161,0.041,0.906,0.053,REAL
3780,5,52,0,69,602,0.051,0.863,0.085,FAKE
3827,5,44,0,52,612,0.059,0.851,0.091,FAKE
9664,4,110,0,139,1625,0.09,0.796,0.114,REAL
2603,5,21,0,49,422,0.047,0.829,0.124,REAL
1946,5,14,2,25,315,0.049,0.764,0.187,FAKE
2877,5,12,0,29,457,0.064,0.859,0.077,REAL
8348,4,63,0,72,1397,0.092,0.846,0.062,REAL
14043,5,62,0,222,2190,0.093,0.793,0.114,FAKE
3988,4,5,0,43,733,0.118,0.709,0.172,FAKE
3984,4,58,0,75,668,0.039,0.879,0.081,FAKE
3634,5,22,0,34,587,0.173,0.755,0.072,REAL
5067,4,29,0,57,886,0.16,0.773,0.067,FAKE
4994,5,0,2,86,813,0.11,0.792,0.098,REAL
9946,5,21,0,133,1559,0.087,0.812,0.1,REAL
1597,5,8,0,31,265,0.034,0.811,0.155,FAKE
8159,5,16,0,108,1318,0.119,0.8,0.081,REAL
7247,5,2,0,107,1188,0.078,0.835,0.087,REAL
3015,5,6,0,73,470,0.083,0.802,0.115,FAKE
9511,4,41,9,134,1633,0.097,0.736,0.167,FAKE
432,5,4,0,4,63,0.132,0.835,0.034,REAL
2327,5,31,0,31,373,0.063,0.837,0.1,FAKE
5237,5,20,0,84,852,0.036,0.902,0.063,REAL
5078,5,41,0,40,825,0.066,0.877,0.057,REAL
1042,4,3,0,8,181,0.091,0.826,0.082,FAKE
4666,5,1,0,69,749,0.1,0.827,0.073,FAKE
5522,5,47,1,98,829,0.049,0.807,0.144,REAL
12499,5,9,0,205,2025,0.063,0.856,0.081,FAKE
10084,5,18,0,141,1590,0.089,0.821,0.09,REAL
2605,4,30,0,29,443,0.149,0.785,0.067,FAKE
5167,5,11,0,69,816,0.032,0.838,0.13,REAL
2435,5,23,0,27,403,0.034,0.84,0.126,FAKE
9481,4,66,1,98,1641,0.106,0.799,0.095,FAKE
6319,5,28,0,83,979,0.019,0.922,0.058,REAL
8733,4,10,0,100,1477,0.061,0.842,0.098,REAL
5294,5,36,2,75,828,0.092,0.815,0.093,FAKE
8195,4,8,0,105,1364,0.057,0.832,0.111,FAKE
8310,4,28,0,108,1432,0.166,0.77,0.064,REAL
2394,4,16,6,34,414,0.012,0.806,0.182,FAKE
7373,5,15,0,98,1175,0.058,0.846,0.096,REAL
117,5,0,0,2,17,0.216,0.784,0,REAL
3877,5,16,2,59,610,0.055,0.883,0.061,REAL
3591,5,29,0,52,572,0.117,0.84,0.043,REAL
6261,5,17,0,101,981,0.029,0.881,0.09,FAKE
2133,5,11,0,26,337,0.041,0.808,0.151,REAL
5932,5,16,0,99,960,0.057,0.85,0.093,REAL
8125,4,22,0,97,1362,0.049,0.875,0.077,REAL
4616,4,8,0,86,775,0.114,0.738,0.148,REAL
9531,5,31,1,144,1522,0.048,0.838,0.114,REAL
3746,5,98,1,67,594,0.019,0.916,0.065,FAKE
8496,5,30,0,118,1382,0.049,0.815,0.136,REAL
2011,4,4,0,32,353,0.044,0.874,0.083,REAL
21184,5,77,0,276,3441,0.083,0.829,0.087,FAKE
5707,4,63,0,58,952,0.103,0.851,0.046,REAL
3617,5,16,0,36,562,0.105,0.806,0.088,REAL
1145,5,0,0,15,179,0.198,0.787,0.015,FAKE
3016,4,3,0,39,530,0.063,0.833,0.104,FAKE
224,5,10,0,0,36,0,0.816,0.184,FAKE
2199,5,10,0,30,343,0.093,0.806,0.101,REAL
3929,5,2,0,50,647,0.042,0.825,0.133,FAKE
3255,4,38,0,30,551,0.141,0.819,0.04,REAL
3311,5,33,0,35,546,0.084,0.873,0.043,REAL
1870,5,13,0,16,303,0.015,0.897,0.089,REAL
1914,4,6,6,40,328,0.041,0.773,0.186,FAKE
2105,5,31,0,27,341,0.046,0.855,0.098,FAKE
2822,4,20,1,48,489,0.031,0.859,0.11,FAKE
3240,5,33,0,34,537,0.048,0.852,0.1,FAKE
134,6,0,0,2,19,0,1,0,REAL
5837,5,25,0,103,948,0.05,0.862,0.089,REAL
5036,5,46,0,88,806,0.1,0.783,0.117,FAKE
4944,5,2,0,63,753,0.157,0.799,0.044,REAL
3518,5,12,0,33,582,0.026,0.93,0.044,REAL
1838,5,46,0,21,293,0.026,0.85,0.124,REAL
3314,5,14,0,45,542,0.022,0.888,0.09,REAL
6130,4,6,0,91,1029,0.181,0.729,0.089,REAL
7568,4,70,0,75,1261,0.119,0.84,0.042,REAL
5385,5,8,0,57,880,0.157,0.779,0.065,FAKE
4119,5,7,1,46,665,0.125,0.836,0.04,FAKE
4019,5,2,0,75,633,0.119,0.782,0.098,REAL
7747,4,30,0,97,1302,0.073,0.861,0.066,FAKE
4946,5,0,0,62,803,0.077,0.857,0.066,REAL
4677,5,23,0,60,755,0.092,0.805,0.103,REAL
3157,5,16,0,30,480,0.072,0.913,0.014,REAL
3541,5,6,0,34,574,0.094,0.844,0.061,FAKE
2516,5,21,0,25,398,0.122,0.81,0.067,FAKE
13024,5,195,8,209,2091,0.073,0.828,0.099,FAKE
2103,4,10,0,37,356,0.069,0.726,0.205,FAKE
6047,5,35,0,93,876,0.033,0.885,0.081,REAL
6168,5,13,1,90,994,0.103,0.78,0.117,FAKE
160,4,3,1,5,27,0.334,0.666,0,FAKE
8528,5,137,0,130,1392,0.083,0.84,0.077,REAL
4059,4,11,0,71,684,0.043,0.847,0.109,FAKE
7292,4,39,0,107,1244,0.127,0.769,0.104,FAKE
4950,5,47,0,71,802,0.021,0.906,0.072,REAL
198,4,0,0,3,34,0.235,0.765,0,FAKE
1448,5,0,0,16,228,0.056,0.909,0.035,REAL
9166,5,20,0,148,1460,0.14,0.758,0.102,FAKE
1184,4,4,0,18,198,0.125,0.806,0.069,FAKE
879,4,9,0,9,157,0.118,0.831,0.052,FAKE
6383,5,6,1,90,1046,0.123,0.831,0.046,FAKE
2475,5,3,0,30,388,0.164,0.773,0.063,FAKE
742,5,16,0,0,117,0.147,0.753,0.1,FAKE
5162,5,22,0,73,851,0.199,0.727,0.074,FAKE
2240,4,0,0,14,380,0.006,0.866,0.128,REAL
6305,5,11,0,115,1020,0.125,0.806,0.068,FAKE
6727,5,42,0,90,1079,0.084,0.823,0.093,REAL
14389,4,20,0,216,2399,0.143,0.749,0.108,FAKE
6543,4,25,0,119,1099,0.073,0.809,0.118,REAL
4917,5,29,0,49,787,0.031,0.89,0.079,REAL
22910,5,41,3,361,3750,0.173,0.705,0.122,FAKE
4665,5,21,1,61,750,0.087,0.819,0.094,REAL
4189,5,9,0,78,603,0.098,0.752,0.15,FAKE
4625,5,12,0,76,710,0.065,0.8,0.135,REAL
3070,5,17,0,34,508,0.082,0.88,0.037,REAL
