Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,adjectives,WordCount,sent_neg,sent_neu,sent_pos,label
8793,5,12,0,88,1361,0.051,0.857,0.093,1
6522,5,21,1,69,1026,0.044,0.897,0.059,1
5196,5,19,0,50,831,0.114,0.792,0.094,1
2968,4,24,0,41,495,0.112,0.85,0.038,1
5165,5,13,0,63,838,0.091,0.845,0.063,1
2013,4,42,0,25,336,0.035,0.892,0.074,1
2641,5,6,0,40,406,0.078,0.858,0.065,1
14079,5,109,0,189,2215,0.082,0.807,0.111,1
3758,4,38,0,55,627,0.028,0.87,0.102,1
4101,5,7,0,53,657,0.137,0.819,0.044,1
4906,5,17,0,75,740,0.064,0.852,0.084,1
2025,5,2,0,19,321,0.107,0.792,0.101,1
9253,4,34,1,118,1540,0.033,0.84,0.127,1
3399,5,18,0,39,526,0.096,0.856,0.047,1
2671,5,31,0,25,427,0.052,0.852,0.096,1
1614,5,30,0,17,250,0.019,0.916,0.065,1
6583,4,2,0,84,1115,0.085,0.803,0.112,1
2260,5,2,0,29,357,0.066,0.876,0.058,1
6096,5,54,0,97,976,0.13,0.826,0.044,1
1936,4,2,0,20,320,0.114,0.853,0.033,1
16735,4,133,4,199,2788,0.022,0.836,0.142,1
4507,5,56,0,44,713,0.164,0.804,0.032,1
5425,4,41,0,80,903,0.062,0.838,0.099,1
3098,5,13,0,26,465,0.085,0.849,0.066,1
1827,5,4,0,19,295,0.119,0.822,0.059,1
3953,5,15,0,35,622,0.073,0.827,0.099,1
3931,5,13,0,56,586,0.169,0.739,0.092,1
1451,4,18,0,12,245,0.014,0.828,0.158,1
24419,5,70,5,347,3983,0.143,0.74,0.116,1
2292,5,4,0,33,378,0.134,0.8,0.066,1
4882,5,32,1,50,800,0.074,0.865,0.061,1
3285,5,45,0,40,517,0.048,0.901,0.051,1
5975,4,36,0,95,1012,0.032,0.853,0.115,1
6214,5,26,0,64,1030,0.113,0.785,0.103,1
5314,5,42,0,59,820,0.103,0.831,0.066,1
8294,4,178,0,108,1432,0.034,0.835,0.131,1
7043,5,24,0,76,1110,0.182,0.775,0.043,1
8688,5,22,3,100,1411,0.059,0.844,0.098,1
3398,4,3,0,31,613,0.126,0.753,0.121,1
3752,5,10,0,54,617,0.125,0.743,0.132,1
7366,5,26,0,111,1149,0.117,0.814,0.069,1
4573,5,10,0,66,743,0.05,0.862,0.088,1
8632,5,83,0,91,1311,0.057,0.844,0.099,1
6905,5,25,1,74,1058,0.167,0.755,0.078,1
4016,4,26,0,45,672,0.027,0.901,0.071,1
25255,5,103,6,363,4172,0.068,0.797,0.135,1
4783,5,29,0,68,770,0.083,0.843,0.074,1
1611,4,12,0,15,271,0.206,0.744,0.05,1
5709,5,19,0,43,907,0.079,0.869,0.052,1
2390,5,0,3,29,370,0.115,0.794,0.091,1
6544,5,51,0,81,1016,0.067,0.853,0.08,1
2571,4,6,0,42,450,0.028,0.819,0.153,1
2828,4,8,0,43,500,0.03,0.882,0.088,1
5928,5,21,5,56,895,0.138,0.805,0.057,1
4513,5,8,0,67,671,0.071,0.846,0.083,1
5906,5,29,3,79,879,0.159,0.791,0.05,1
3796,5,36,0,50,600,0.01,0.924,0.067,1
5658,5,20,0,87,902,0.111,0.769,0.121,1
3753,5,30,0,39,599,0.049,0.877,0.074,1
1647,4,10,0,21,286,0.065,0.805,0.13,1
3891,5,0,0,56,636,0.074,0.816,0.111,1
5107,4,12,0,63,900,0.078,0.796,0.126,1
6934,4,30,0,83,1161,0.191,0.742,0.066,1
4106,4,4,0,58,733,0.07,0.821,0.109,1
4583,5,34,0,49,700,0.068,0.866,0.065,1
4670,4,26,0,91,782,0.035,0.876,0.089,1
2357,5,6,2,32,392,0.118,0.813,0.07,1
1547,5,0,0,11,231,0.112,0.809,0.079,1
6749,5,45,0,73,1042,0.071,0.826,0.103,1
2927,5,4,0,30,466,0.026,0.942,0.032,1
8269,5,12,0,117,1327,0.119,0.798,0.083,1
2233,4,0,0,29,373,0.02,0.902,0.078,1
7603,5,17,0,111,1228,0.069,0.797,0.134,1
1283,4,3,0,13,215,0.124,0.876,0.0,1
1766,5,9,0,26,277,0.222,0.727,0.051,1
9886,5,55,3,138,1561,0.094,0.824,0.082,1
4965,5,15,0,78,801,0.065,0.873,0.062,1
4139,5,100,0,100,688,0.036,0.945,0.019,1
3655,5,15,0,38,547,0.081,0.819,0.1,1
7160,5,14,0,76,1095,0.04,0.892,0.068,1
10418,5,42,0,148,1691,0.062,0.844,0.093,1
6258,5,88,0,89,1014,0.034,0.857,0.109,1
9650,5,8,2,125,1478,0.075,0.834,0.09,1
4143,5,22,0,41,650,0.037,0.921,0.043,1
1683,5,8,0,17,264,0.101,0.858,0.041,1
4400,5,4,0,61,707,0.18,0.739,0.081,1
3956,4,15,0,71,671,0.096,0.677,0.226,1
7089,5,58,1,101,1146,0.163,0.744,0.093,1
7484,5,16,1,99,1219,0.058,0.844,0.098,1
5017,5,30,0,50,816,0.09,0.844,0.066,1
6340,5,28,0,87,936,0.039,0.861,0.1,1
2113,5,44,0,25,338,0.1,0.81,0.089,1
11046,5,35,3,137,1747,0.064,0.846,0.09,1
2717,5,5,0,29,427,0.078,0.792,0.13,1
3496,4,14,0,47,578,0.034,0.814,0.152,1
16116,5,166,0,210,2640,0.034,0.873,0.093,1
9024,5,24,0,97,1458,0.128,0.777,0.095,1
6597,5,58,0,79,1020,0.067,0.859,0.074,1
10730,4,173,0,107,1834,0.08,0.836,0.084,1
4957,4,10,0,65,844,0.067,0.925,0.008,1
3042,5,26,0,35,471,0.171,0.823,0.006,1
4880,5,29,0,55,760,0.09,0.798,0.112,1
2671,5,29,0,26,420,0.049,0.823,0.128,1
3014,5,40,0,28,463,0.119,0.763,0.118,1
1679,4,41,0,16,281,0.032,0.825,0.143,1
6316,5,82,1,100,1018,0.13,0.821,0.049,1
3506,5,22,0,55,559,0.083,0.874,0.042,1
7139,4,215,0,94,1266,0.029,0.892,0.08,1
4530,5,10,0,51,711,0.074,0.857,0.069,1
6440,5,4,1,98,1030,0.054,0.827,0.119,1
4996,4,10,1,65,868,0.081,0.819,0.1,1
2875,5,22,0,31,429,0.034,0.846,0.119,1
4823,4,11,0,51,824,0.099,0.839,0.062,1
6721,5,8,0,102,1057,0.081,0.812,0.106,1
4506,5,48,0,52,699,0.093,0.883,0.024,1
5829,5,24,0,76,955,0.139,0.766,0.096,1
3403,5,18,0,35,536,0.036,0.909,0.055,1
3477,5,2,0,52,565,0.057,0.792,0.151,1
3273,5,15,0,39,529,0.05,0.822,0.128,1
2664,5,16,0,28,408,0.031,0.851,0.118,1
2753,5,11,0,33,406,0.023,0.91,0.067,1
5565,5,20,0,72,909,0.036,0.884,0.079,1
2325,4,28,0,33,396,0.049,0.848,0.104,1
6405,5,53,0,89,1021,0.204,0.76,0.036,1
3022,5,0,0,35,475,0.103,0.755,0.143,1
2109,5,11,0,26,347,0.029,0.828,0.143,1
4450,5,10,1,71,716,0.093,0.812,0.095,1
4104,5,5,0,56,654,0.083,0.821,0.096,1
2141,4,90,0,23,363,0.045,0.919,0.036,1
12745,5,32,8,142,2048,0.071,0.791,0.137,1
15669,5,32,0,199,2417,0.09,0.807,0.103,1
1736,4,8,0,27,312,0.046,0.825,0.128,1
6914,5,31,0,93,1074,0.129,0.784,0.087,1
6339,5,55,0,88,1014,0.034,0.829,0.137,1
11191,4,10,0,156,1902,0.057,0.866,0.078,1
3776,4,8,0,50,672,0.024,0.916,0.06,1
2065,5,37,0,20,339,0.062,0.879,0.059,1
5330,5,2,2,78,852,0.11,0.807,0.083,1
3748,4,12,0,49,622,0.134,0.745,0.121,1
2848,5,2,0,29,449,0.067,0.822,0.111,1
4304,5,25,0,60,688,0.144,0.803,0.053,1
6739,5,52,0,95,1071,0.057,0.76,0.182,1
3718,4,2,0,42,620,0.068,0.874,0.058,1
4822,5,7,0,51,754,0.115,0.847,0.038,1
4596,5,40,0,68,754,0.151,0.78,0.069,1
3130,5,21,0,34,509,0.177,0.745,0.078,1
5199,5,18,0,75,826,0.074,0.781,0.145,1
15047,4,72,1,141,2573,0.028,0.867,0.104,1
1829,5,32,0,21,300,0.07,0.843,0.087,1
3772,4,17,0,38,641,0.043,0.861,0.096,1
2459,5,7,0,22,377,0.043,0.832,0.126,1
7003,5,21,0,114,1128,0.022,0.906,0.072,1
4212,5,24,0,57,649,0.012,0.901,0.087,1
1395,4,25,0,9,232,0.01,0.959,0.031,1
8111,4,16,2,86,1496,0.156,0.763,0.081,1
2971,4,6,0,24,502,0.072,0.885,0.043,1
8583,4,14,2,107,1447,0.124,0.767,0.109,1
3779,5,8,0,53,549,0.092,0.836,0.072,1
2052,4,8,0,29,352,0.148,0.806,0.046,1
2728,4,57,0,19,455,0.028,0.855,0.117,1
4247,5,14,0,60,669,0.195,0.72,0.085,1
3307,5,0,0,25,523,0.063,0.862,0.075,1
6665,5,69,0,71,1067,0.221,0.726,0.053,1
6078,5,15,0,93,930,0.015,0.841,0.144,1
2883,5,19,0,46,445,0.07,0.788,0.142,1
5169,4,18,0,67,922,0.149,0.753,0.098,1
4657,4,30,0,63,778,0.052,0.837,0.111,1
4949,5,16,0,56,750,0.041,0.844,0.115,1
4748,5,9,0,54,784,0.14,0.784,0.077,1
3308,5,55,0,50,513,0.08,0.778,0.142,1
4077,5,10,0,86,648,0.137,0.674,0.19,1
5660,5,30,0,92,898,0.07,0.873,0.057,1
4827,5,17,0,55,773,0.064,0.82,0.116,1
1227,5,4,0,13,196,0.115,0.85,0.034,1
7348,4,11,0,75,1270,0.062,0.847,0.091,1
5509,5,57,0,76,844,0.078,0.834,0.088,1
5815,5,25,5,69,925,0.081,0.823,0.097,1
4241,5,40,0,50,686,0.126,0.738,0.135,1
6524,5,85,0,90,1022,0.05,0.832,0.119,1
4222,4,18,0,47,708,0.019,0.93,0.052,1
4850,4,46,0,68,808,0.048,0.888,0.064,1
5456,5,73,0,64,890,0.059,0.833,0.108,1
2861,5,24,0,34,474,0.086,0.853,0.061,1
4293,4,45,0,24,814,0.124,0.788,0.088,1
1971,5,25,0,21,312,0.262,0.706,0.031,1
5165,5,8,2,56,847,0.065,0.75,0.184,1
3607,4,0,0,47,660,0.04,0.881,0.079,1
5268,5,40,0,76,824,0.111,0.807,0.081,1
2762,4,0,0,32,463,0.052,0.866,0.082,1
2915,5,19,0,39,445,0.074,0.889,0.038,1
5511,5,10,0,81,859,0.06,0.838,0.102,1
6137,5,35,0,71,991,0.147,0.758,0.095,1
5724,5,29,0,61,924,0.122,0.805,0.073,1
6081,5,37,0,67,958,0.073,0.814,0.113,1
15919,5,69,0,204,2437,0.106,0.794,0.099,1
1564,5,20,0,24,256,0.098,0.822,0.08,1
5488,4,14,1,71,917,0.071,0.808,0.121,1
4307,4,20,0,56,778,0.053,0.829,0.118,1
7146,5,85,0,113,1160,0.137,0.806,0.057,1
4174,5,0,0,67,627,0.072,0.798,0.131,1
1880,4,32,0,18,317,0.035,0.874,0.09,1
4464,4,10,0,35,782,0.029,0.809,0.163,1
6980,5,22,5,99,1110,0.101,0.81,0.089,1
4521,5,31,0,66,750,0.038,0.877,0.086,1
1820,5,6,0,19,290,0.097,0.866,0.037,1
2829,5,26,0,30,449,0.058,0.886,0.056,1
4799,5,2,0,55,762,0.108,0.78,0.112,1
4029,4,26,0,34,674,0.165,0.762,0.072,1
5949,5,6,0,40,904,0.081,0.913,0.006,1
6636,5,22,0,91,1056,0.087,0.805,0.108,1
4079,4,9,0,44,768,0.027,0.876,0.096,1
2450,5,13,1,22,399,0.019,0.876,0.106,1
3388,5,0,0,47,559,0.073,0.85,0.077,1
578,4,5,0,7,105,0.127,0.77,0.103,1
2804,5,19,0,34,448,0.157,0.694,0.149,1
6980,5,83,0,85,1116,0.108,0.797,0.095,1
3746,5,4,0,50,571,0.11,0.811,0.079,1
5613,4,17,0,61,953,0.168,0.731,0.101,1
720,4,1,0,9,125,0.098,0.859,0.043,1
6607,6,25,1,75,932,0.124,0.791,0.085,1
3582,5,0,0,47,532,0.065,0.892,0.043,1
5155,5,21,0,84,823,0.092,0.771,0.137,1
3789,5,24,0,69,610,0.11,0.855,0.035,1
12587,5,63,0,157,2010,0.062,0.85,0.088,1
1547,4,9,0,17,264,0.057,0.922,0.021,1
1578,5,2,0,24,247,0.143,0.82,0.038,1
7940,5,43,0,92,1276,0.109,0.835,0.055,1
3097,5,6,0,45,474,0.088,0.81,0.103,1
2261,5,0,1,24,355,0.055,0.847,0.098,1
3262,5,12,0,34,519,0.045,0.813,0.142,1
3266,4,8,0,43,546,0.17,0.719,0.112,1
5314,5,8,0,54,830,0.073,0.817,0.11,1
4112,5,12,0,44,642,0.119,0.825,0.055,1
8859,5,63,0,92,1415,0.158,0.776,0.067,1
9456,5,30,0,123,1431,0.041,0.883,0.076,1
4946,5,12,0,75,765,0.053,0.884,0.063,1
5127,5,28,0,70,826,0.103,0.807,0.091,1
6945,4,58,0,84,1186,0.087,0.809,0.104,1
3221,5,7,0,23,492,0.104,0.858,0.038,1
4406,5,30,0,37,702,0.098,0.816,0.086,1
12210,5,16,0,191,1885,0.124,0.797,0.078,1
5948,5,73,0,79,975,0.017,0.899,0.083,1
2817,5,14,0,29,440,0.029,0.755,0.216,1
10402,4,44,0,103,1764,0.073,0.827,0.1,1
16593,4,32,5,175,2837,0.09,0.795,0.115,1
1720,5,16,0,18,271,0.085,0.817,0.099,1
3733,5,6,0,48,597,0.12,0.801,0.08,1
7347,5,6,0,85,1161,0.155,0.744,0.101,1
3897,4,0,0,48,660,0.038,0.875,0.087,1
6259,5,32,0,82,987,0.131,0.778,0.092,1
2546,5,9,0,35,399,0.103,0.841,0.056,1
2318,5,14,0,28,370,0.162,0.814,0.024,1
1973,5,8,0,27,302,0.169,0.756,0.075,1
7361,5,17,0,93,1207,0.053,0.893,0.054,1
3041,5,0,0,35,477,0.181,0.79,0.03,1
3646,5,55,0,32,598,0.083,0.803,0.114,1
8590,5,27,0,133,1385,0.109,0.775,0.116,1
4877,5,16,1,51,724,0.156,0.811,0.033,1
13214,5,100,0,162,2095,0.092,0.832,0.076,1
8871,5,65,0,89,1315,0.057,0.861,0.082,1
24213,4,48,3,352,4111,0.1,0.76,0.14,1
4357,5,30,0,53,657,0.173,0.736,0.091,1
5370,5,21,0,74,872,0.109,0.81,0.081,1
2765,5,10,0,33,450,0.056,0.855,0.089,1
14355,5,40,16,164,2320,0.072,0.836,0.092,1
10751,5,25,4,119,1684,0.138,0.784,0.078,1
4256,4,8,0,40,781,0.092,0.815,0.092,1
1519,5,0,0,20,251,0.089,0.797,0.114,1
5597,5,12,0,70,889,0.015,0.926,0.059,1
5666,4,27,0,69,943,0.13,0.787,0.083,1
5265,5,10,0,52,850,0.104,0.811,0.085,1
1079,4,9,0,12,180,0.125,0.865,0.01,1
8756,4,31,0,120,1467,0.094,0.798,0.108,1
3664,5,4,0,45,555,0.066,0.848,0.086,1
3533,5,17,0,36,568,0.091,0.845,0.064,1
3360,5,24,0,33,551,0.064,0.886,0.05,1
3623,5,9,0,40,587,0.091,0.779,0.13,1
4696,4,11,0,58,810,0.045,0.865,0.091,1
3527,5,29,0,43,561,0.031,0.912,0.058,1
7691,4,8,0,72,1326,0.036,0.817,0.148,1
3049,4,31,0,27,526,0.049,0.822,0.129,1
4306,5,12,0,29,627,0.01,0.952,0.038,1
1665,4,0,0,16,283,0.137,0.798,0.065,1
2882,5,29,0,39,447,0.063,0.856,0.081,1
5849,5,22,0,73,921,0.133,0.817,0.05,1
4763,5,17,1,77,773,0.049,0.861,0.09,1
3199,5,2,0,46,507,0.156,0.768,0.076,1
3163,4,6,0,32,572,0.119,0.818,0.064,1
9454,4,73,8,106,1639,0.08,0.776,0.143,1
5450,5,20,0,73,861,0.106,0.819,0.074,1
5565,5,19,2,80,859,0.09,0.787,0.122,1
6469,5,26,0,81,1001,0.034,0.898,0.068,1
5162,5,11,1,64,779,0.133,0.824,0.043,1
2714,5,6,0,29,425,0.148,0.784,0.068,1
4444,5,16,1,57,706,0.141,0.802,0.057,1
3169,5,21,0,33,484,0.075,0.856,0.069,1
4531,5,50,0,73,751,0.045,0.887,0.067,1
4808,5,10,1,51,714,0.13,0.77,0.1,1
6129,5,25,0,45,994,0.125,0.837,0.038,1
5339,5,8,0,70,815,0.14,0.754,0.106,1
